"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 24 15:32:30 UTC 2025","Mon Mar 24 15:32:30 UTC 2025","17","","org.itmo.testing.lab2.integration.UserAnalyticsControllerTest","","org.itmo.testing.lab2.integration.UserAnalyticsControllerTest","testRecordSessionWithoutUserId","Тест записи сессии без userId",""
"passed","Mon Mar 24 15:32:28 UTC 2025","Mon Mar 24 15:32:30 UTC 2025","1882","","org.itmo.testing.lab2.integration.UserAnalyticsControllerTest","","org.itmo.testing.lab2.integration.UserAnalyticsControllerTest","testRegisterWithoutUserName","Тест регистрации без userName",""
"passed","Mon Mar 24 15:32:30 UTC 2025","Mon Mar 24 15:32:30 UTC 2025","34","","org.itmo.testing.lab2.integration.UserAnalyticsControllerTest","","org.itmo.testing.lab2.integration.UserAnalyticsControllerTest","testGetTotalActivityWithoutUserId","Тест получения общего времени активности без userId",""
"passed","Mon Mar 24 15:32:30 UTC 2025","Mon Mar 24 15:32:30 UTC 2025","16","","org.itmo.testing.lab2.integration.UserAnalyticsControllerTest","","org.itmo.testing.lab2.integration.UserAnalyticsControllerTest","testRecordSessionWithInvalidDateFormat","Тест записи сессии с некорректным форматом даты",""
"passed","Mon Mar 24 15:32:30 UTC 2025","Mon Mar 24 15:32:30 UTC 2025","14","","org.itmo.testing.lab2.integration.UserAnalyticsControllerTest","","org.itmo.testing.lab2.integration.UserAnalyticsControllerTest","testGetInactiveUsersWithoutDays","Тест получения неактивных пользователей без days",""
"passed","Mon Mar 24 15:32:30 UTC 2025","Mon Mar 24 15:32:30 UTC 2025","19","","org.itmo.testing.lab2.integration.UserAnalyticsControllerTest","","org.itmo.testing.lab2.integration.UserAnalyticsControllerTest","testRegisterWithoutUserId","Тест регистрации без userId",""
"passed","Mon Mar 24 15:32:32 UTC 2025","Mon Mar 24 15:32:32 UTC 2025","3","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus_HighlyActive","testGetUserStatus_HighlyActive()",""
"passed","Mon Mar 24 15:32:30 UTC 2025","Mon Mar 24 15:32:30 UTC 2025","14","","org.itmo.testing.lab2.integration.UserAnalyticsControllerTest","","org.itmo.testing.lab2.integration.UserAnalyticsControllerTest","testGetMonthlyActivityWithoutUserId","Тест получения метрик активности без userId",""
"passed","Mon Mar 24 15:32:30 UTC 2025","Mon Mar 24 15:32:30 UTC 2025","31","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetTotalActivity","Тест получения общего времени активности",""
"passed","Mon Mar 24 15:32:30 UTC 2025","Mon Mar 24 15:32:30 UTC 2025","11","","org.itmo.testing.lab2.integration.UserAnalyticsControllerTest","","org.itmo.testing.lab2.integration.UserAnalyticsControllerTest","testGetMonthlyActivityWithoutMonth","Тест получения метрик активности без month",""
"passed","Mon Mar 24 15:32:30 UTC 2025","Mon Mar 24 15:32:30 UTC 2025","16","","org.itmo.testing.lab2.integration.UserAnalyticsControllerTest","","org.itmo.testing.lab2.integration.UserAnalyticsControllerTest","testRecordSessionWithoutLoginTime","Тест записи сессии без loginTime",""
"passed","Mon Mar 24 15:32:30 UTC 2025","Mon Mar 24 15:32:30 UTC 2025","33","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testUserRegistration","Тест регистрации пользователя",""
"passed","Mon Mar 24 15:32:30 UTC 2025","Mon Mar 24 15:32:30 UTC 2025","16","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSession","Тест записи сессии",""
"passed","Mon Mar 24 15:32:32 UTC 2025","Mon Mar 24 15:32:32 UTC 2025","4","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus_Inactive","testGetUserStatus_Inactive()",""
"passed","Mon Mar 24 15:32:30 UTC 2025","Mon Mar 24 15:32:30 UTC 2025","20","","org.itmo.testing.lab2.integration.UserAnalyticsControllerTest","","org.itmo.testing.lab2.integration.UserAnalyticsControllerTest","testGetMonthlyActivityWithNonExistentUserId","Тест получения метрик активности с несуществующим userId",""
"passed","Mon Mar 24 15:32:32 UTC 2025","Mon Mar 24 15:32:32 UTC 2025","5","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserLastSessionDate","testGetUserLastSessionDate()",""
"passed","Mon Mar 24 15:32:30 UTC 2025","Mon Mar 24 15:32:32 UTC 2025","1854","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus_Active","testGetUserStatus_Active()",""
